Voyage_ID,Sailing_Speed,Draft,Trim,Weather_Condition,Sea_Condition,Water_Temperature,Fuel_Consumption_Rate,Distance_Traveled,Time_Duration,seaWaterTemp,wind_speed,wind_direction,sea_current_speed,sea_current_direction,combined_wave_height,combined_wave_direction,displacement
16,12.0,9.7,2.3,Clear,Moderate,29.0,12.6,126,10.3,15.34,4,149,1,13,2.79,100,93503
20,17.4,9.5,1.9,Rain,Rough,26.7,9.1,131,10.0,10.12,8,1,2,89,5.8,23,109392
42,15.3,11.1,2.9,Foggy,Calm,27.9,9.3,176,10.0,6.77,30,172,4,65,5.23,57,148746
14,13.0,9.2,2.4,Foggy,Moderate,24.2,9.9,127,10.0,17.13,8,42,1,168,1.39,41,154905
38,16.0,10.0,1.5,Foggy,Calm,24.8,9.9,129,11.3,27.49,5,127,1,45,1.77,78,104840
21,14.0,10.2,1.9,Sunny,Calm,22.4,7.0,120,12.6,4.1,0,72,3,85,1.04,73,136254
21,15.5,10.2,4.0,Sunny,Rough,22.6,9.9,189,14.7,21.11,25,44,6,156,6.86,158,163550
40,16.1,11.0,3.7,Rain,Rough,23.3,8.7,170,12.8,5.39,3,167,3,27,7.82,36,157926
18,12.2,10.1,2.3,Foggy,Calm,23.3,10.4,120,10.0,20.2,24,95,0,8,7.9,113,144700
19,12.7,9.4,2.4,Sunny,Calm,22.1,8.3,120,11.2,17.18,28,164,6,125,7.19,68,68196
14,17.9,9.7,4.0,Sunny,Rough,24.9,7.9,154,10.8,26.61,27,60,1,91,7.81,43,96631
22,16.8,9.5,2.1,Sunny,Calm,23.7,7.0,146,11.8,27.07,13,130,4,13,2.55,72,67506
37,13.9,9.6,2.6,Clear,Rough,24.7,8.3,142,10.0,2.75,8,153,1,77,7.72,146,99590
33,14.6,9.2,2.5,Cloudy,Rough,24.9,7.3,120,10.0,18.51,0,43,6,147,1.77,49,120254
17,17.0,9.5,3.7,Sunny,Calm,28.3,7.0,185,12.4,25.33,15,20,7,152,7.95,3,145062
45,16.5,10.3,2.7,Cloudy,Calm,27.4,7.0,173,14.4,29.32,21,0,1,26,5.11,148,88659
12,13.4,9.3,2.2,Cloudy,Rough,26.8,7.0,146,10.0,10.34,2,176,4,60,5.39,3,104735
23,15.9,10.5,3.1,Foggy,Calm,26.4,9.2,163,10.4,21.36,20,56,6,91,0.64,178,160189
