Voyage_ID,Sailing_Speed,Draft,Trim,Weather_Condition,Sea_Condition,Water_Temperature,Fuel_Consumption_Rate,Distance_Traveled,Time_Duration
16,12.0,9.7,2.3,Clear,Moderate,29.0,12.6,126,10.3
20,17.4,9.5,1.9,Rain,Rough,26.7,9.1,131,10.0
42,15.3,11.1,2.9,Foggy,Calm,27.9,9.3,176,10.0
14,13.0,9.2,2.4,Foggy,Moderate,24.2,9.9,127,10.0
38,16.0,10.0,1.5,Foggy,Calm,24.8,9.9,129,11.3
21,14.0,10.2,1.9,Sunny,Calm,22.4,7.0,120,12.6
21,15.5,10.2,4.0,Sunny,Rough,22.6,9.9,189,14.7
40,16.1,11.0,3.7,Rain,Rough,23.3,8.7,170,12.8
18,12.2,10.1,2.3,Foggy,Calm,23.3,10.4,120,10.0
19,12.7,9.4,2.4,Sunny,Calm,22.1,8.3,120,11.2
14,17.9,9.7,4.0,Sunny,Rough,24.9,7.9,154,10.8
22,16.8,9.5,2.1,Sunny,Calm,23.7,7.0,146,11.8
37,13.9,9.6,2.6,Clear,Rough,24.7,8.3,142,10.0
33,14.6,9.2,2.5,Cloudy,Rough,24.9,7.3,120,10.0
17,17.0,9.5,3.7,Sunny,Calm,28.3,7.0,185,12.4
45,16.5,10.3,2.7,Cloudy,Calm,27.4,7.0,173,14.4
12,13.4,9.3,2.2,Cloudy,Rough,26.8,7.0,146,10.0
23,15.9,10.5,3.1,Foggy,Calm,26.4,9.2,163,10.4
21,13.3,9.9,1.5,Cloudy,Calm,23.2,9.5,145,11.1
47,14.8,9.2,1.7,Foggy,Calm,25.0,7.0,154,10.2
39,12.7,9.6,1.8,Cloudy,Calm,23.8,7.6,130,10.7
29,15.5,9.8,1.9,Sunny,Calm,24.1,10.5,160,10.0
48,15.9,10.7,3.7,Cloudy,Rough,24.7,8.8,172,10.9
12,13.4,9.5,2.2,Clear,Moderate,21.6,9.8,132,10.0
11,17.6,11.4,3.7,Rain,Rough,23.6,8.2,169,15.2
35,18.7,9.8,2.0,Cloudy,Calm,23.7,7.0,153,14.4
22,13.5,10.1,2.2,Rain,Moderate,26.2,11.0,121,10.0
24,13.2,9.9,2.0,Sunny,Calm,25.7,10.4,120,11.2
11,17.5,10.0,1.8,Rain,Calm,24.0,10.0,153,10.0
42,18.6,11.2,1.8,Sunny,Moderate,25.7,7.0,150,10.0
